starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:44:25 2020	1595069065	0	13397	13397	13397
Sat Jul 18 13:44:34 2020	1595069074	0	13397	13398	13397
Sat Jul 18 13:44:22 2020	1595069062	0	13398	13398	13398
Sat Jul 18 13:44:02 2020	1595069042	20	13377	13398	13377
Sat Jul 18 13:44:39 2020	1595069079	0	13398	13398	13398
Sat Jul 18 13:44:38 2020	1595069078	0	13398	13398	13398
Sat Jul 18 13:44:41 2020	1595069081	0	13398	13399	13398
Sat Jul 18 13:44:35 2020	1595069075	0	13399	13399	13399
Sat Jul 18 13:44:38 2020	1595069078	0	13399	13399	13399
Sat Jul 18 13:44:39 2020	1595069079	0	13399	13399	13399
Sat Jul 18 13:44:39 2020	1595069079	0	13399	13399	13399
Sat Jul 18 13:44:23 2020	1595069063	0	13400	13400	13400
Sat Jul 18 13:44:41 2020	1595069081	0	13400	13400	13400
Sat Jul 18 13:44:39 2020	1595069079	0	13400	13400	13400
Sat Jul 18 13:44:42 2020	1595069082	0	13400	13400	13400
Sat Jul 18 13:44:41 2020	1595069081	0	13400	13400	13400
Sat Jul 18 13:44:23 2020	1595069063	0	13400	13400	13400
Sat Jul 18 13:44:28 2020	1595069068	0	13400	13400	13394
Sat Jul 18 13:44:39 2020	1595069079	0	13400	13400	13400
Sat Jul 18 13:44:41 2020	1595069081	0	13401	13401	13400
Sat Jul 18 13:44:34 2020	1595069074	0	13401	13401	13401
Sat Jul 18 13:44:22 2020	1595069062	0	13401	13401	13401
Sat Jul 18 13:44:42 2020	1595069082	0	13401	13401	13401
Sat Jul 18 13:44:35 2020	1595069075	0	13401	13401	13401
Sat Jul 18 13:44:42 2020	1595069082	0	13401	13402	13400
Sat Jul 18 13:44:34 2020	1595069074	0	13402	13402	13401
Sat Jul 18 13:44:40 2020	1595069080	0	13402	13402	13401
Sat Jul 18 13:44:22 2020	1595069062	0	13402	13402	13401
Sat Jul 18 13:44:42 2020	1595069082	0	13402	13402	13402
Sat Jul 18 13:44:27 2020	1595069067	0	13402	13402	13402
Sat Jul 18 13:44:22 2020	1595069062	0	13402	13402	13402
Sat Jul 18 13:44:42 2020	1595069082	0	13402	13403	13402
Sat Jul 18 13:44:35 2020	1595069075	0	13403	13403	13402
Sat Jul 18 13:44:34 2020	1595069074	0	13402	13403	13402
Sat Jul 18 13:44:28 2020	1595069068	0	13403	13403	13402
Sat Jul 18 13:44:34 2020	1595069074	0	13403	13403	13403
Sat Jul 18 13:44:22 2020	1595069062	0	13403	13403	13402
Sat Jul 18 13:44:34 2020	1595069074	0	13403	13403	13403
Sat Jul 18 13:44:22 2020	1595069062	0	13404	13404	13403
Sat Jul 18 13:44:22 2020	1595069062	0	13404	13404	13404
Sat Jul 18 13:44:26 2020	1595069066	0	13404	13404	13402
Sat Jul 18 13:44:42 2020	1595069082	0	13404	13404	13404
Sat Jul 18 13:44:39 2020	1595069079	0	13404	13404	13403
Sat Jul 18 13:44:35 2020	1595069075	0	13404	13404	13403
Sat Jul 18 13:44:41 2020	1595069081	0	13405	13405	13404
Sat Jul 18 13:44:22 2020	1595069062	0	13405	13405	13404
Sat Jul 18 13:44:42 2020	1595069082	0	13405	13405	13404
Sat Jul 18 13:44:42 2020	1595069082	0	13405	13405	13405
Sat Jul 18 13:44:41 2020	1595069081	0	13405	13405	13405
Sat Jul 18 13:44:38 2020	1595069078	0	13405	13405	13405
Sat Jul 18 13:44:41 2020	1595069081	0	13405	13405	13405
Sat Jul 18 13:44:22 2020	1595069062	0	13405	13405	13405
Sat Jul 18 13:44:42 2020	1595069082	0	13405	13405	13405
Sat Jul 18 13:44:40 2020	1595069080	0	13406	13406	13405
Sat Jul 18 13:44:23 2020	1595069063	0	13406	13406	13405
Sat Jul 18 13:44:29 2020	1595069069	0	13406	13406	13406
